#{"t_start": 1617611168.7877684, "env_id": null}
r,l,t
1.214286,10,0.390912
-0.761905,11,0.779082
-0.785714,10,1.123832
-0.809524,9,1.401345
-0.857143,7,1.585239
-0.904762,5,1.756792
-0.785714,10,2.045213
-0.833333,8,2.257429
-0.857143,7,2.482118
-0.904762,5,2.620659
-0.809524,9,2.901213
1.214286,10,3.188482
1.238095,11,3.511441
-9.714286,13,3.906184
1.214286,10,4.189093
-0.833333,8,4.482799
1.190476,9,4.756904
-0.809524,9,5.012755
-0.785714,10,5.300871
1.214286,10,5.597112
-0.785714,10,5.903536
-0.880952,6,6.080277
-0.904762,5,6.264418
1.119048,6,6.405569
1.142857,7,6.626525
-0.809524,9,6.913864
-0.857143,7,7.110456
-0.833333,8,7.358403
1.190476,9,7.581332
-0.785714,10,7.935217
-0.714286,13,8.327101
1.214286,10,8.628331
1.214286,10,8.915768
1.214286,10,9.229276
-0.833333,8,9.463244
-0.833333,8,9.715406
1.142857,7,9.884123
1.142857,7,10.083892
-0.761905,11,10.416445
-0.785714,10,10.725101
-0.809524,9,10.994047
-0.857143,7,11.240181
-0.833333,8,11.487334
-0.761905,11,11.841144
-0.809524,9,12.09263
1.190476,9,12.349537
-0.809524,9,12.650301
-0.833333,8,12.872795
-0.833333,8,13.145059
-0.928571,4,13.266553
-0.809524,9,13.581259
-0.785714,10,13.900982
1.142857,7,14.124467
1.190476,9,14.355294
-0.738095,12,14.743604
1.190476,9,15.00171
1.238095,11,15.309521
-0.904762,5,15.448915
-0.833333,8,15.698928
-0.714286,13,16.084723
-0.833333,8,16.357781
-9.738095,12,16.674548
-0.785714,10,16.969018
1.166667,8,17.193513
1.190476,9,17.443148
1.190476,9,17.655097
-0.880952,6,17.873468
-0.690476,14,18.324982
1.095238,5,18.434146
-0.833333,8,18.682574
-0.714286,13,19.095202
-0.904762,5,19.239436
-0.857143,7,19.465685
-0.809524,9,19.750196
-0.857143,7,19.965405
-0.809524,9,20.284582
1.166667,8,20.516672
1.119048,6,20.65762
-0.857143,7,20.879582
1.142857,7,21.059469
1.095238,5,21.180641
1.238095,11,21.530283
-0.785714,10,21.828809
-0.809524,9,22.129153
1.214286,10,22.428653
-0.880952,6,22.599639
-0.666667,15,23.055921
-0.809524,9,23.350264
-9.761905,11,23.657709
-0.833333,8,23.923518
-0.809524,9,24.191069
-0.714286,13,24.58426
-0.857143,7,24.842431
-0.809524,9,25.1463
-0.785714,10,25.469585
-0.785714,10,25.784207
1.142857,7,25.991863
-0.785714,10,26.328779
1.071429,4,26.431269
1.119048,6,26.590312
-0.738095,12,26.947806
-0.880952,6,27.166785
-0.880952,6,27.355335
1.166667,8,27.611551
1.119048,6,27.771759
-0.738095,12,28.130013
-0.809524,9,28.430305
-0.809524,9,28.717338
-0.857143,7,28.95336
1.238095,11,29.2611
-0.809524,9,29.536035
-0.857143,7,29.761225
-0.785714,10,30.071748
-0.880952,6,30.235544
-0.809524,9,30.524148
-0.880952,6,30.707564
-0.785714,10,31.049015
-0.857143,7,31.294014
-0.809524,9,31.56847
-0.785714,10,31.89239
-0.880952,6,32.102711
-0.833333,8,32.341336
1.095238,5,32.506374
-0.809524,9,32.786332
-0.833333,8,33.009558
-9.809524,9,33.242123
1.095238,5,33.343962
-0.761905,11,33.649901
-0.809524,9,33.907405
-0.857143,7,34.091638
-0.904762,5,34.287882
1.166667,8,34.511794
-0.785714,10,34.854306
-0.833333,8,35.126977
-0.857143,7,35.363696
1.285714,13,35.736179
-0.785714,10,36.005155
1.142857,7,36.198775
-0.809524,9,36.472176
-0.809524,9,36.740886
-0.761905,11,37.107757
-0.738095,12,37.539922
-0.809524,9,37.88081
-0.809524,9,38.182057
-0.833333,8,38.417055
-0.833333,8,38.673726
-0.904762,5,38.845997
-9.690476,14,39.273787
1.261905,12,39.641069
-0.809524,9,39.904633
1.190476,9,40.188332
1.166667,8,40.430426
1.190476,9,40.654647
-0.809524,9,40.935781
-0.833333,8,41.184639
-0.880952,6,41.357725
-9.761905,11,41.734952
-0.738095,12,42.149961
-0.761905,11,42.505525
1.214286,10,42.771056
-0.761905,11,43.073172
-0.904762,5,43.218065
-0.833333,8,43.464232
-0.833333,8,43.667597
-0.809524,9,43.928018
1.071429,4,44.008452
-0.880952,6,44.206109
-0.857143,7,44.401584
-0.880952,6,44.602701
-0.833333,8,44.818973
-0.785714,10,45.110306
-0.738095,12,45.449912
-0.833333,8,45.700543
-0.738095,12,46.051822
-0.880952,6,46.225674
1.214286,10,46.557545
1.166667,8,46.809378
-0.785714,10,47.132675
-0.857143,7,47.346305
-0.904762,5,47.528027
-0.833333,8,47.768927
-0.880952,6,47.980591
1.238095,11,48.342156
-0.785714,10,48.605731
1.095238,5,48.749112
-0.809524,9,48.976818
1.190476,9,49.268022
-0.738095,12,49.611657
1.119048,6,49.780201
-0.833333,8,49.979503
-0.904762,5,50.161037
-0.738095,12,50.574236
-0.809524,9,50.861794
-0.833333,8,51.110213
-0.904762,5,51.246183
-0.880952,6,51.443338
1.119048,6,51.586224
-0.738095,12,51.936231
-0.809524,9,52.231753
-0.904762,5,52.424203
-0.857143,7,52.61605
-0.785714,10,52.919434
-0.809524,9,53.193199
-0.809524,9,53.468665
-0.809524,9,53.760273
-0.785714,10,54.048822
-9.857143,7,54.242158
-0.809524,9,54.513229
-0.833333,8,54.757659
-0.785714,10,55.061399
-0.928571,4,55.174424
1.190476,9,55.459671
1.238095,11,55.76872
-0.809524,9,56.011141
-0.809524,9,56.285256
-0.809524,9,56.562931
-0.880952,6,56.727031
-0.833333,8,56.974862
-0.785714,10,57.277981
-0.833333,8,57.556486
-0.833333,8,57.776794
-0.809524,9,58.055372
-0.809524,9,58.337479
1.238095,11,58.617043
1.119048,6,58.789473
-0.880952,6,58.955384
1.214286,10,59.239011
-0.880952,6,59.440579
-0.928571,4,59.552124
-0.857143,7,59.745992
-0.761905,11,60.081064
-0.904762,5,60.247711
-0.809524,9,60.545564
-0.833333,8,60.752759
1.261905,12,61.060996
-0.738095,12,61.413741
1.261905,12,61.72594
1.119048,6,61.858292
-0.809524,9,62.126735
-0.809524,9,64.61454
-0.785714,10,64.917552
1.095238,5,65.042185
-0.809524,9,65.334732
-0.857143,7,65.545521
1.166667,8,65.7753
-0.761905,11,66.095817
1.214286,10,66.373083
-0.833333,8,66.602182
1.142857,7,66.826373
-0.809524,9,67.113229
-0.785714,10,67.38532
-0.809524,9,67.690806
-0.785714,10,68.008016
-0.785714,10,68.313676
-0.928571,4,68.423635
1.095238,5,68.569418
-0.880952,6,68.734807
-0.761905,11,69.069118
1.309524,14,69.500617
1.261905,12,69.851231
-0.761905,11,70.221913
-0.785714,10,70.530615
1.190476,9,70.768304
1.119048,6,70.97219
-0.809524,9,71.254842
1.142857,7,71.450218
-0.809524,9,71.764283
-0.928571,4,71.873826
-0.809524,9,72.186235
-0.761905,11,72.541188
-0.785714,10,72.886708
1.166667,8,73.08553
-9.785714,10,73.365549
-0.785714,10,73.724091
1.238095,11,74.031863
-0.857143,7,74.225299
-0.785714,10,74.52089
-0.880952,6,74.711574
-0.785714,10,74.983749
-0.833333,8,75.231627
-0.857143,7,75.47051
-0.857143,7,75.67338
-0.809524,9,75.948248
-0.785714,10,76.245349
-9.738095,12,76.575167
-0.904762,5,76.708066
-0.761905,11,77.032228
-0.809524,9,77.308137
-0.809524,9,77.58505
-0.809524,9,77.819936
-0.857143,7,78.041946
-0.833333,8,78.296754
-0.809524,9,78.566258
-0.833333,8,78.841051
-0.833333,8,79.114082
1.190476,9,79.337542
1.142857,7,79.541138
-0.785714,10,79.873248
1.214286,10,80.174628
1.142857,7,80.37705
-0.904762,5,80.538417
-0.809524,9,80.836567
-0.785714,10,81.178363
-0.785714,10,81.507764
-0.785714,10,81.827609
-0.833333,8,82.078993
-0.738095,12,82.44775
-0.880952,6,82.646064
1.285714,13,83.042196
-0.761905,11,83.397708
-0.761905,11,83.764786
-0.785714,10,84.091017
-0.833333,8,84.357116
-0.738095,12,84.717307
-0.833333,8,84.976267
-0.785714,10,85.282416
-0.809524,9,85.533115
-0.785714,10,85.871531
-0.785714,10,86.183484
-0.761905,11,86.509858
-0.785714,10,86.807048
-0.833333,8,87.035432
-0.857143,7,87.259922
1.190476,9,87.514975
-0.809524,9,87.762521
-0.809524,9,88.037369
1.214286,10,88.31442
-0.904762,5,88.453778
1.238095,11,88.757645
-0.714286,13,89.136256
-0.880952,6,89.333924
-0.904762,5,89.475533
-0.857143,7,89.700029
-0.928571,4,89.810547
-0.809524,9,90.072894
-0.904762,5,90.205819
-0.809524,9,90.470086
-0.785714,10,90.763999
-0.809524,9,91.039577
-0.833333,8,91.259845
1.119048,6,91.435129
-0.833333,8,91.652017
-0.904762,5,91.821394
1.190476,9,92.041513
-0.833333,8,92.288067
-0.857143,7,92.479571
-0.857143,7,92.691077
-0.833333,8,92.933072
-0.809524,9,93.178471
-0.928571,4,93.319995
-0.761905,11,93.647986
-0.785714,10,93.924484
-0.785714,10,94.24772
-0.880952,6,94.472068
1.119048,6,94.612032
-0.928571,4,94.724692
1.119048,6,94.916364
-0.809524,9,95.219221
1.190476,9,95.460533
-0.880952,6,95.658736
-0.809524,9,95.987186
1.119048,6,96.149395
-0.809524,9,96.449112
1.166667,8,96.68326
1.142857,7,96.908193
-0.809524,9,97.188663
1.142857,7,97.370717
-0.857143,7,97.600353
-0.904762,5,97.748231
-0.857143,7,97.98396
-0.833333,8,98.203236
1.190476,9,98.443733
-0.809524,9,98.706528
1.214286,10,98.949661
-0.833333,8,99.205412
-0.809524,9,99.482934
-0.738095,12,99.842501
-0.809524,9,100.12088
1.309524,14,100.4797
1.142857,7,100.631033
-0.904762,5,100.79609
1.214286,10,101.0407
1.119048,6,101.216848
-0.761905,11,101.566542
-0.833333,8,101.78696
-0.809524,9,102.066454
-0.785714,10,102.385102
-0.833333,8,102.654526
-0.714286,13,103.061131
-0.857143,7,103.290692
1.190476,9,103.546012
-0.785714,10,103.854014
-0.809524,9,104.135875
1.119048,6,104.280262
-0.809524,9,104.552565
-0.833333,8,104.760587
1.095238,5,104.903704
-0.833333,8,105.111755
1.214286,10,105.378219
-0.738095,12,105.731477
1.166667,8,105.953633
-0.833333,8,106.156356
-0.928571,4,106.291948
